dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
Doen;faire;;8ed90092-b241-4b2e-bafa-f4a57163fdb6;;;;;;-1;-1;
Maken;"fabriquer; créer";;d08400d6-53b6-4031-9db6-d4902cb6cd70;;;;;;-1;-1;
Studeren;étudier;;bb8dfc46-4a0b-4239-8390-b24ab37b46b6;;;;;;-1;-1;
Werken;travailler;;2bb61e01-e748-46c9-b0a2-1a6ed141538d;;;;;;-1;-1;
Antwoorden;répondre;;5fa6a8a2-dcf8-4541-85e1-5147b929d768;;;;;;-1;-1;
Vragen;demander;;f2c69c64-b38c-4f5b-b8d5-e7536fff2d79;;;;;;-1;-1;
Leren;apprendre;;49ecf9dc-bd70-403d-83f2-4d93638d487b;;;;;;-1;-1;
Blijven;rester;;8c76b427-b811-4d64-a8a8-b0c8606aeef5;;;;;;-1;-1;
Spelen;jouer;;20e27f30-1c4a-4c81-926c-89b2f631ab0f;;;;;;-1;-1;
Kennen;connaître;;e54f33fc-9687-4ea7-97ea-f40f8b5052ea;;;;;;-1;-1;
Praten;parler (discuter);;3e84b2e1-0037-4f55-9f53-034b988b5ea8;;;;;;-1;-1;
Geven;donner;;31d783a1-f4d0-4baf-9164-686ca417c327;;;;;;-1;-1;
Neemt;prendre;;3ef5647b-96d0-4566-946f-3d9b0100387b;;;;;;-1;-1;
Kosten;coûter;;adc345c3-885f-44c1-b14d-c98aa4b07eca;;;;;;-1;-1;
Feesten;faire la fête;;c93240d6-9743-4b50-a018-32fe920d93c3;;;;;;-1;-1;
Vieren;fêter;;54685288-745e-4d1a-b7d5-cfd6cf4e7238;;;;;;-1;-1;
Hebben;avoir;;2a6d281e-ac2b-4c06-96b2-d134cd0dc67d;;;;;;-1;-1;
Zijn;être;;3c3d9e4d-0929-4397-9e08-ede5eb386168;;;;;;-1;-1;
Wonen;habiter;;9646fc58-ca7d-4450-951b-876183d47cb0;;;;;;-1;-1;
Willen;vouloir;;4534b18e-afc6-49b7-8095-6ec588f524f1;;;;;;-1;-1;
Kunnen;pouvoir (capacité);;285f3104-9d4d-4cf7-94d9-e27b901a4279;;;;;;-1;-1;
Weten;savoir;;09bfeb4b-7cd6-4012-8c25-c26a2edbb1fd;;;;;;-1;-1;
Blijven;rester;;54b533ad-3796-4789-ae35-b886729784bd;;;;;;-1;-1;
Moeten;devoir;;ae6b9430-f4c4-4d26-aed0-055badbb4ab8;;;;;;-1;-1;
Komen;venir;;4fa205b4-f5a1-4712-9338-a7525cdf168e;;;;;;-1;-1;
Lopen;marcher;;60ef22e6-5a29-45c5-ac33-ce53d1de7fe5;;;;;;-1;-1;
Rennen;courir;;19706824-0532-4eef-99ce-fce3d15d5318;;;;;;-1;-1;
Reizen;voyager;;a2af2f34-f8bd-4661-a6bf-3ee2389f1385;;;;;;-1;-1;
Horen;entendre;;9fc6c83b-4dca-4de1-8364-9eaf21c8b0a4;;;;;;-1;-1;
Luisteren;écouter;;d2e429f2-bd63-408e-8eb7-a212cafb4060;;;;;;-1;-1;
Kijken;regarder;;b0d37e75-7f10-4b33-83cf-17e8a7cd3ee6;;;;;;-1;-1;
Zien;voir;;10604395-46ce-49d6-8d6e-475425aa20b7;;;;;;-1;-1;
Bellen;appeler;;80ff85a6-5261-40f4-8a20-afd31edfec72;;;;;;-1;-1;
Terugbellen;rappeler;;9d3c81c1-7822-4d30-bec4-bb6a62b650e5;;;;;;-1;-1;
Spreken;parler;;aae86a11-83d9-44ac-8b78-9efd540d948d;;;;;;-1;-1;
Haten;détester;;2b7155e7-41cf-48d4-bb26-32490a6da10f;;;;;;-1;-1;
Houden van;aimer;;9f90ed01-8847-4c15-a69f-5058d0cbb059;;;;;;-1;-1;
Proficiat;féliciter;;64f7f04d-0e3a-48cd-939f-bc53709aeb91;;;;;;-1;-1;
Willen;vouloir;;d9f19001-b85c-4bf2-bc54-6651934b4f0a;;;;;;-1;-1;
Graven;creuser;;dcd1b222-f1b1-4909-8a90-67ad3c805a14;;;;;;-1;-1;
Verliezen;perdre;;93585791-fbf5-413a-86e1-68a8bde8ffc2;;;;;;-1;-1;
Zwemmen;nager;;cfece610-cbf6-4260-889d-e140593ca31d;;;;;;-1;-1;
Drinken;boire;;4e81916e-d7f1-4d48-b516-177bffaa9bad;;;;;;-1;-1;
Eten;manger;;7072d5c7-650c-4f17-a0d9-07513bd715d6;;;;;;-1;-1;
Wassen;laver;;2634e61d-8d3d-4cc1-bf08-8a80733060f8;;;;;;-1;-1;
Zingen;chanter;;4fd9a384-0383-425a-9c4f-76d6e61b8b43;;;;;;-1;-1;
Maandag;lundi;;c4b4d30a-8a43-4b3a-9110-e40314748d04;;;;;;-1;-1;
Dinsdag;mardi;;92fe502f-efd1-4ee2-bcf3-90e3c5cc1f1b;;;;;;-1;-1;
Woensdag;mercredi;;2d9e17f4-ef1e-44be-bd73-3a10fc201e2c;;;;;;-1;-1;
Donderdag;jeudi;;fb9ab214-7b39-4dc9-a72e-550e5ddd4dac;;;;;;-1;-1;
Vrijdag;vendredi;;071fd00e-f212-45c0-a452-b04b54cc26b2;;;;;;-1;-1;
Zaterdag;samedi;;4f248c2a-2b61-4610-9b5d-d0b38127498a;;;;;;-1;-1;
Zondag;dimanche;;523ce39c-9c9a-44fb-ada5-45b89e7ad367;;;;;;-1;-1;
Januari;janvier;;c86fc0ff-4e64-483d-a3aa-35b0bbe2a0c3;;;;;;-1;-1;
Februari;février;;1458eb56-610a-4476-ac33-699d2f4e1904;;;;;;-1;-1;
Maart;mars;;d9fdacd1-b1aa-4e3b-bb32-698a63894f8e;;;;;;-1;-1;
April;avril;;5ffcd4e9-8734-4377-ab05-4b2b7322458f;;;;;;-1;-1;
Mei;mai;;146df492-27a8-4d97-a59b-c8f9b254ef54;;;;;;-1;-1;
Juni;juin;;af6ee51f-9302-4cc8-a166-ea814f96b2db;;;;;;-1;-1;
Juli;juillet;;4c3aa399-d467-44fd-b505-5d8cd3264e69;;;;;;-1;-1;
Augustus;août;;f758a121-714f-44fb-88e3-277e82123afc;;;;;;-1;-1;
September;septembre;;d4305be1-1418-4dec-aba2-6490ad4502bf;;;;;;-1;-1;
Oktober;octobre;;2868c8d1-c757-4694-b324-363ac6ccc51e;;;;;;-1;-1;
November;novembre;;2c07ac7e-71bd-48a5-b68a-bcab8638cfe5;;;;;;-1;-1;
December;décembre;;13e05137-7a3c-4d7b-89e0-f4dc002c4a17;;;;;;-1;-1;
De lente;printemps;;febaf8d5-b2d1-48d7-8580-6ba40b57036b;;;;;;-1;-1;
De zomer;été;;7706e801-ab55-429e-aa1b-18d4f11b230b;;;;;;-1;-1;
De herfst;automne;;da59b15e-f567-4e94-ac4a-d3ed99a6c5ea;;;;;;-1;-1;
De winter;hiver;;891462f0-0476-46a0-93a7-f5284eb8a1fb;;;;;;-1;-1;
Hele dag;toute la journée;;28ac2a42-e491-48ff-bf0e-0afe18318b40;;;;;;-1;-1;
Middag;midi;;d833414d-c0d8-4c07-93f0-3503b867e27f;;;;;;-1;-1;
Voormiddag;avant-midi;;6c95b5e1-66a0-434f-8ad7-a2217f3edd9c;;;;;;-1;-1;
Namiddag;après-midi;;8af99834-a5db-4b24-a152-b97c74785b25;;;;;;-1;-1;
Morgen;demain;;1feee0ba-c01e-4bd1-a49a-d85cf230bbd0;;;;;;-1;-1;
Vandaag;aujourd'hui;;0918e4a3-ce4f-424b-aab7-eaf134c892db;;;;;;-1;-1;
Gisteren;hier;;035276a4-777f-461c-9119-61008e65bf70;;;;;;-1;-1;
Vanmorgen;ce matin;;f2c522bf-accd-47be-b1c3-986126d9331f;;;;;;-1;-1;
Vanavond;ce soir;;a892a314-eef2-4494-bf54-fda4042204c1;;;;;;-1;-1;
Vanmiddag;cet après-midi;;d7bb3417-52e8-44f9-bd52-a84776a6e58b;;;;;;-1;-1;
Laaste keer;la dernière fois;;f9db05c6-1f0d-4762-a5df-ee2765e9bea8;;;;;;-1;-1;
Vorige week;la semaine dernière;;9ba1bb8d-16bc-4ef0-b797-8ec028501baf;;;;;;-1;-1;
Op;sur;;46a19575-3fbc-40b2-b6d1-ebf0dad6a8f6;;;;;;-1;-1;
In;dans;;c4913237-e69d-464f-8799-a2e678fb9475;;;;;;-1;-1;
Onder;sous;;34e50456-879c-41bc-b4a7-8cd7f2c2a880;;;;;;-1;-1;
Naast;à côté de;;29b5ddd9-9af3-4a82-a98d-1869a23a7ac4;;;;;;-1;-1;
Voor;avant / devant;;a8b5bee2-3c4c-4f04-b5e4-4ebb4e7940f5;;;;;;-1;-1;
Achter;derrière;;eca64d39-8a31-454c-9f9d-36242800fe38;;;;;;-1;-1;
Tussen;entre;;fe637dcc-769a-40b5-bb96-e1f292b97bbc;;;;;;-1;-1;
Bij;chez / auprès de;;60807974-d886-4abe-b8e0-f23442a0b6d7;;;;;;-1;-1;
Tegen;contre;;260b09cb-36fe-4577-b240-815aa68261df;;;;;;-1;-1;
Over;au-dessus de;;4c0b5821-6e61-4ff0-997a-9f5bf2c3124e;;;;;;-1;-1;
Met;avec;;e94e356a-19a8-4dc4-9c7b-a3d60f15b448;;;;;;-1;-1;
Zonder;sans;;b14808bc-34c1-4ca1-bdfc-dadfcc580c4d;;;;;;-1;-1;
Langs;le long de;;4c662fbb-efe0-4104-906b-b650b0510ca3;;;;;;-1;-1;
Buiten;dehors;;42980439-dc99-48ef-9258-aa40d0823e66;;;;;;-1;-1;
Uit;hors de / sorti de;;eb5a835f-9181-4760-80b3-11ba6b05d851;;;;;;-1;-1;
Tot;jusqu'à;;4832218f-1c83-48d4-934a-e9ab7440c288;;;;;;-1;-1;
Van;de;;7697c06c-f526-43a9-8966-1c35cacfb2aa;;;;;;-1;-1;
Naar;vers;;a6f42d36-f7d3-404f-ab91-890f1886cd2f;;;;;;-1;-1;
Tegenover;en face de;;bd7845eb-57a0-41a0-b666-414b1c25f522;;;;;;-1;-1;
Door;à travers;;35689037-e474-4c01-9159-11746e900202;;;;;;-1;-1;
Kaart;carte;;0b63ee13-40e7-4cb3-bbe4-1e4e5573d763;;;;;;-1;-1;
Verjaardag;anniversaire;;9c470258-c563-446d-92df-c699a57adc05;;;;;;-1;-1;
Geboorte;naissance;;02038169-65b7-4660-908e-9269452da6ff;;;;;;-1;-1;
Gerschenk;cadeau;;15550183-01e0-49ba-ba4a-59a0dea1b260;;;;;;-1;-1;
Postzegels;timbres;;77cdf831-24c8-4c03-a673-350caac78725;;;;;;-1;-1;
Lied;chanson;;aa749fec-c99e-4d4e-afcf-856833ffdc1f;;;;;;-1;-1;
Proficiat;félicitations;;bafc0d1f-c4fc-4909-8118-4ba63edd95e3;;;;;;-1;-1;
Winkel;magasin;;9f8221bb-268f-421b-a8af-9bebd886f484;;;;;;-1;-1;
Beenhouwerij;boucherie;;28a822af-41ea-497a-b342-7a47b55d5402;;;;;;-1;-1;
Luchthaven;aéroport;;d31b38e6-a4a6-44fd-9cd9-baeb9cb13d86;;;;;;-1;-1;
Haven;port;;4c392ee1-cb47-482b-88b7-6d6894d97a25;;;;;;-1;-1;
Koud;froid;;4248a518-a8d1-47ce-89c6-fc1716c9346f;;;;;;-1;-1;
Warm;chaud;;c225b23b-c49e-4d2e-a3b8-7fbf52fe59ab;;;;;;-1;-1;
Lucht;ciel;;e66ea39f-0738-46f0-a0e1-8d9a6ad86a7a;;;;;;-1;-1;
Feestdagen;jours fériés;;878a6b2b-fc68-41b8-a75d-5c4718c619a6;;;;;;-1;-1;
Sluitingsdag;jour de fermeture;;e1e24b27-076a-4843-af0c-af849dd5803a;;;;;;-1;-1;
Mensen;gens;;47dbfe92-f811-4f2b-9a6b-11b72e1dae5c;;;;;;-1;-1;
man;le Monsieur;common word;150d4b13-c972-4ad8-844a-cf5d2dd24a49;de;la famille;arbre généalogique;;;2024-11-06T03:52:27.869Z;-1;
meisje;la demoiselle;common word;55256caa-f5e1-4b6f-abd4-d87c7d5d72a8;het;la famille;la famille;;;2024-11-06T03:57:07.400Z;-1;
Iemand;quelqu'un;;99e4c042-f5a3-4949-9782-24a27cfeacfa;;;;;;-1;-1;
Niemand;personne;;5df43309-e23b-488b-adb8-0c7ac4b35cba;;;;;;-1;-1;
Geld;argent;;f45fdddd-af3a-4b3d-8c1a-912e42f82f07;;;;;;-1;-1;
Goedkoop;bon marché;;18d80c43-84bf-4d6a-9336-6f379b616307;;;;;;-1;-1;
Duur;cher;;8f4a7360-04fb-4387-a1f0-4d93c3524cfd;;;;;;-1;-1;
Wilde;sauvage;;920a6289-7f08-40b4-a879-b6c6b84b8742;;;;;;-1;-1;
Dat klopt;c'est correct;;75d7377a-bc79-4e79-87bd-d6e9a4c85c29;;;;;;-1;-1;
Wablief?;pardon ?;;e6d72ad0-a7de-48f3-8089-d066cbf29c3c;;;;;;-1;-1;
Tot uw dienst;à votre service;;e6b84ee2-597c-40d3-92d7-4348e62bec3c;;;;;;-1;-1;
Geen dank;de rien;;f39ea726-3dcf-4c36-a0cc-4548eb98eb77;;;;;;-1;-1;
Graag gedaan;avec plaisir;;b7231715-0b0c-48d5-9f00-150dbd2a5f6e;;;;;;-1;-1;
Kom binnen;entrez;;96f16924-2ae7-44d6-9aea-f14ddb091582;;;;;;-1;-1;
Gelukkig maar;heureusement que;;ffe2c012-7054-4590-be4b-2cf134a87f23;;;;;;-1;-1;
Zeker;certainement;;d1a1d100-418e-446e-a4e9-454d17f1bd11;;;;;;-1;-1;
Pas op;fais attention;;d9b9af5b-2a64-4d40-9743-fe22c5497009;;;;;;-1;-1;
Ik houd (niet van);j'aime (je n'aime pas);;02fa25c4-4aff-426a-8fb6-b21dbdc1125d;;;;;;-1;-1;
Ik haat;je déteste;;c91771b0-5338-4ad0-9e5f-45cda1418df4;;;;;;-1;-1;
Ik ook;moi aussi;;12341a4f-f11c-4016-b9db-4e1f2cfa8bc9;;;;;;-1;-1;
Niet / Geen;pas / aucun;;0e5219bf-3038-48f1-aff7-4f05e7536dac;;;;;;-1;-1;
Misschien;peut-être;;18f4af2b-4aef-48a4-a995-8fa793edd3b2;;;;;;-1;-1;
Bijna;presque;;e1ebb7bb-f3ba-4fb7-a37c-1a5e15c49e9c;;;;;;-1;-1;
Even veel;autant;;2d8670c8-6f83-4ec3-96af-ea3c2a0476b5;;;;;;-1;-1;
Meer;plus;;6f3c63b5-4429-46d7-ac09-5e452db0607d;;;;;;-1;-1;
Nooit meer;plus jamais;;c1198005-4910-4cce-aea6-f27180df167f;;;;;;-1;-1;
Dat is spijtig;c'est dommage;;cdab3299-ae76-4b6c-ab68-737501c74118;;;;;;-1;-1;
