dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
lees en herhaal;lis et répète;;;;;;begroeting;;;;
zeg het allabet;Dis l'alphabet;;;;;;het alphabet;;;;
antwoord op de volgende vragen;réponds à ces question suivantes;;;;;;Provincies en steden in belgië;;;;
Verbind de provincies in het frans met de vertaling in het nederlands;Relie les provinces en français avec la traduction en néerlandais;;;;;;Provincies en steden in belgië;;;;
Verbind de steden in het frans met de vertaling in het nederlands;Relie les villes en français avec la traduction en néerlandais;;;;;;Provincies en steden in belgië;;;;
Schrijf de namen van de provincies op;Ecris les noms des provinces;;;;;;Provincies en steden in Nederland;;;;
Verbind de woorden de grijze kaders met de juiste tekeningen;Relie les mots dans les cases grises avec les dessins corrects;;;;;;Waar woon jij? Waar ligt dat?;;;;
Luister naar de dialogen. Zet een X in de juiste kolom.;Écoute les dialogues. Mets un X dans la bonne colonne.;;;;;;Uit welk land kom jij?;;;;
Luister naar de dialogen. Onderstreep de talen die je hoort.;Écoute les dialogues. Souligne les langues que tu entends.;;;;;;Welke taal spreek jij?;;;;
Luister naar de CD en vul de zinnen in met de juiste taal.;Écoute le CD et compléte les phrases avec la bonne langue.;;;;;;Talen en landen;;;;
Luister naar de landen en herhaal;Ecoute les pays et répète;;;;;;Talen en landen;;;;
Schrijf de talen naast de volgende landen. Aandacht! In België zinn 3 Officiële talen!;Écris les langues à côté des pays suivants. Attention! Il y a 3 langues officielles en Belgique !;;;;Talen en landen;;;;;;
