dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
gaan;aller;irrégulier;f36a0384-da87-4e79-8808-2df9a9527786;;;;;1729780136387;-1;-1;
bellen;appeler;régulier;40f51c83-01c6-437e-ab9f-a7cad650d414;;;;;1729780136387;-1;-1;
vertrekken;partir;irrégulier;6f05a6bd-eac3-4a59-a241-3965f5ebaf12;;;;;1729780136387;-1;-1;
krijgen;recevoir;irrégulier;17362b4c-8690-4ffb-a335-4881ff9864a4;;;;;1729780136387;-1;-1;
schrijven;écrire;irrégulier;a887a96a-aaee-418f-9fe1-d1d1f87375e2;;;;;1729780136387;-1;-1;
geld;argent;;caa13944-9a86-4fc9-9ce5-7e99c483d275;;;;;1729780136388;-1;-1;
op;sur;préposition;d6f29388-3057-491f-8fb8-38eff14c5675;;;;;1729780136388;-1;-1;
in;dans;préposition;61aaa03f-69eb-413e-b578-cee841a9a3c7;;;;;1729780136388;-1;-1;
onder;sous;préposition;ad6a4978-d7c1-4dd5-9567-3cc227bc0588;;;;;1729780136388;-1;-1;
voor;devant/pour;préposition;07f4b2a0-470d-438f-8c5a-0020b040b0c6;;;;;1729780136388;-1;-1;
achter;derrière;préposition;9bea841f-fcc9-4bfa-a64e-83fc129060d7;;;;;1729780136388;-1;-1;
naast;à côté de;préposition;7eeb3517-d841-4d76-8da6-35eeaf49f223;;;;;1729780136388;-1;-1;
tussen;entre;préposition;4fb43fa6-8a18-49ac-ad0e-c33393af9f5e;;;;;1729780136394;-1;-1;
