dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
Ik;je;;9c784b3b-4db3-4d70-ae80-0708bb38cc42;;;;;;-1;-1;
Jij / Je;tu;;5705ae90-26d3-4c0c-83c3-849bfa860707;;;;;;-1;-1;
Hij;il;;7b5b7b1d-a925-4fb8-898f-ded7e3a83544;;;;;;-1;-1;
Ze;elle / ils / elles;;33eafcc2-9c97-43d4-ba15-b24d958f7cbd;;;;;;-1;-1;
Wij / We;nous;;a301b265-dad3-458a-9ddb-4d7723aff99a;;;;;;-1;-1;
Jullie;vous (pluriel);;1986297d-9894-47db-9fa3-62c7756bc324;;;;;;-1;-1;
U;vous (formel);;abc67822-4aa2-4422-b24a-0558064d3e35;;;;;;-1;-1;
Me;me;;f5d57bba-a193-41cf-93cc-55f9da02f4e0;;;;;;-1;-1;
Jou;toi;;6cd4c7ba-8202-4d24-bfa6-e3a12dae0109;;;;;;-1;-1;
Hem;lui;;4d2b0268-ace7-4d6c-ae4e-31a4b3c86f32;;;;;;-1;-1;
Haar;elle (objet);;2024144f-7f53-4136-8868-14dddf7733ea;;;;;;-1;-1;
Ons;nous;;3a874bdc-580b-4143-8568-da2d473e91a6;;;;;;-1;-1;
Hen / Ze;eux (pluriel);;43631010-55b2-4a04-bc1a-05b1bbb8b37d;;;;;;-1;-1;
Mijn;mon;;bc570a36-2535-47fa-a971-c36d8cc42a8b;;;;;;-1;-1;
Jouw;ton;;137ec0ea-d503-4314-8c29-f453e43e926d;;;;;;-1;-1;
Zijn;son (à lui);;bb3f52aa-75d3-4686-97a5-6010786d5d23;;;;;;-1;-1;
Haar;son (à elle);;4da5aa32-22f3-4c49-8986-fdcd68f3af1d;;;;;;-1;-1;
Ons;Nos / Notre (avec mot en het au singulier uniquement);;de3daa23-18e2-42c5-953c-402dc63a347e;;;;;;-1;-1;
Onze;Nos / Notre (mot en de et pluriels);;9e0ab266-729b-4c04-86fe-9117f669335d;;;;;;-1;-1;
Hun;leur;;55580cbe-90ae-402c-82a8-4ed541106fc4;;;;;;-1;-1;
ik;je;;39c86153-bf11-47e0-9985-11d4fcbfc1d2;;;;;1729780136388;-1;-1;
jij;tu;;491d3c25-941d-4e61-864e-603d9fc9e183;;;;;1729780136389;-1;-1;
hij;il;;7804b776-745a-4202-8caf-80f1baae2594;;;;;1729780136389;-1;-1;
zij;elle;;70e5252c-0c97-4682-9e03-b37a400822d7;;;;;1729780136389;-1;-1;
wij;nous;;19e3923f-82d0-4344-987e-84fd4d254c05;;;;;1729780136389;-1;-1;
jullie;vous;;2cb92b26-6375-4b17-a446-c91717ef442d;;;;;1729780136389;-1;-1;
zij;ils/elles;;9d96835b-693c-4b3c-9e3f-2385fedf7d15;;;;;1729780136389;-1;-1;
jij;tu;;bd4a2848-b562-4bae-a947-cdf93fe7078f;;;;;1729780136388;-1;-1;
hij;il;;8180ff39-a364-4c59-a50c-bae94f13a202;;;;;1729780136388;-1;-1;
zij;elle;;abf9db64-345c-451b-99d8-045dc5e5d3df;;;;;1729780136388;-1;-1;
wij;nous;;b9164650-a024-414d-8ff3-bd87339642b1;;;;;1729780136388;-1;-1;
jullie;vous;;f1d0b049-74c7-4200-8dfc-1437ac7faf4f;;;;;1729780136388;-1;-1;
zij;ils/elles;;abdd1fb3-f63f-448f-8fb3-0ba03aaa29c7;;;;;1729780136388;-1;-1;
huis;maison;;8c7fd30d-548a-449f-b58e-6a6631e61e5f;;;;;1729780136388;-1;-1;
