dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
zijn;être;irrégulier;a4309d7b-d8ad-40da-a1b1-d1bd7da64ea4;;;;;1729780136388;-1;-1;
hebben;avoir;irrégulier;25d319ee-d22b-4655-85d5-720678450d8a;;;;;1729780136388;-1;-1;
doen;faire;irrégulier;fd849689-2ddb-4108-b5bc-0d33751e3a80;;;;;1729780136388;-1;-1;
zien;voir;irrégulier;18e155a9-e27e-48e3-91a6-90249b91afb5;;;;;1729780136388;-1;-1;
staan;être debout;irrégulier;29e7470a-9152-467f-903c-ec1243efda82;;;;;1729780136388;-1;-1;
zitten;Être assis;irrégulier;dcc494a3-a8f3-4511-a251-8d7cd31119fc;;;;;1729780136388;-1;-1;
liggen;être couché;irrégulier;9f4f89a1-30c7-4fcb-9480-7dc059d81de1;;;;;1729780136388;-1;-1;
lopen;marcher;irrégulier;0d351269-40ce-4403-a140-3ac78b09eb7e;;;;;1729780136388;-1;-1;
komen;venir;irrégulier;a2014343-7dc2-40b8-bdca-9daaa93358a3;;;;;1729780136388;-1;-1;
geven;donner;irrégulier;616b10dd-f3e0-4489-8b6b-1e5c1fe1ebfc;;;;;1729780136388;-1;-1;
werken;travailler;régulier;0e530c2b-26a6-4880-9b46-7a43c100d688;;;;;1729780136389;-1;-1;
luisteren;écouter;régulier;01e87d67-1217-4de2-b420-db5e5c87dcb3;;;;;1729780136389;-1;-1;
koken;cuisiner;régulier;5bcd62d7-1423-4f93-ae3b-94a87114ae48;;;;;1729780136389;-1;-1;
wonen;habiter;régulier;eebcaf72-c478-47b9-b630-69b9cce694a8;;;;;1729780136389;-1;-1;
studeren;étudier;régulier;8537a2f0-1736-4555-9f8b-70227564f0c9;;;;;1729780136389;-1;-1;
slapen;dormir;régulier;c0861271-4be4-4ba0-9817-e30b8bde05b8;;;;;1729780136389;-1;-1;
rijden;conduire;irrégulier;a3273b0c-1ecd-4309-bc9d-5e7092abf9a3;;;;;1729780136389;-1;-1;
vriend;ami;;4ff36711-01c4-40bd-b296-76924c08f4fd;;;;;1729780136389;-1;-1;
boek;livre;;ec1dc3f3-d4e7-499d-885d-8a291a740b2a;;;;;1729780136389;-1;-1;
auto;voiture;;d2302146-84ab-4939-a0f2-ee0757918303;;;;;1729780136389;-1;-1;
fiets;vélo;;e2dcf1de-cc7f-4a88-8b8d-a1e55d578fd1;;;;;1729780136389;-1;-1;
straat;rue;;49b41650-6831-489a-b42f-f191e57fa36b;;;;;1729780136389;-1;-1;
dag;jour;;3eee6539-90c3-474c-b24c-09098b1653c5;;;;;1729780136389;-1;-1;
nacht;nuit;;e544b089-3d68-40d0-b355-b5607717bad5;;;;;1729780136389;-1;-1;
maand;mois;;52183e1e-198f-4f15-8802-9df86e6990c9;;;;;1729780136389;-1;-1;
jaar;année;;f0b7a73f-c7eb-40b4-bcc3-1cb993219334;;;;;1729780136389;-1;-1;
kind;enfant;;2a478b21-8a31-40cb-91b2-d319e0f9ca8c;;;;;1729780136389;-1;-1;
bij;chez;préposition;419e6583-7557-4f31-82dc-f0855d67d60e;;;;;1729780136389;-1;-1;
tegen;contre;préposition;eb1de12f-c124-4607-a1cf-c614523423a0;;;;;1729780136389;-1;-1;
met;avec;préposition;e86a3745-19dd-48e2-9559-9a659b905a65;;;;;1729780136389;-1;-1;
zonder;sans;préposition;8774f7e3-7aed-415e-97de-f53354b5bd19;;;;;1729780136389;-1;-1;
om;autour de;préposition;8dd9fb8d-82a4-4efa-a266-f3cb16639960;;;;;1729780136389;-1;-1;
over;sur / au-dessus de;préposition;cf115614-0e66-4189-a11e-67f997a821d7;;;;;1729780136389;-1;-1;
door;à travers;préposition;57544788-129a-4fc6-ac72-47af6235948a;;;;;1729780136389;-1;-1;
naast;à côté de;préposition;38644623-8cf7-4bec-af30-74f8fb956caa;;;;;1729780136389;-1;-1;
tussen;entre;préposition;39bdc3dd-4219-41ab-b3ff-30499024d5ca;;;;;1729780136389;-1;-1;
lezen;lire;irrégulier;baaee54c-974c-4519-a90e-15441a5ea933;;;;;1729780136389;-1;-1;
lachen;rire;irrégulier;c4f63786-ac46-4b4f-a1e5-ef249de01ee9;;;;;1729780136389;-1;-1;
bellen;appeler;régulier;9686a953-4476-4e4f-8305-4ac0a06603b2;;;;;1729780136389;-1;-1;
zeggen;dire;irrégulier;5ac6c685-147c-4aaf-9b50-9bf243f79ec5;;;;;1729780136389;-1;-1;
huis;maison;;eb6841c5-a32d-4309-8a71-fc970c3c46b7;;;;;1729780136389;-1;-1;
geld;argent;;13df2834-ef81-4e3d-aa6e-638a601c75e7;;;;;1729780136389;-1;-1;
op;sur;préposition;e391241b-a25d-4887-93e5-7e7168ed5e8f;;;;;1729780136389;-1;-1;
in;dans;préposition;e8c6c7f4-6f87-4f04-9fd9-4f7b29e49c33;;;;;1729780136389;-1;-1;
onder;sous;préposition;a482fa7f-50a2-472d-8e8a-6a8e99737885;;;;;1729780136389;-1;-1;
voor;devant/pour;préposition;736d2040-b0f4-47b3-9748-8cc6e1d36243;;;;;1729780136389;-1;-1;
achter;derrière;préposition;4cc97a4b-a905-4afe-a809-adafcdc94ad6;;;;;1729780136389;-1;-1;
naast;à côté de;préposition;df4e765e-c195-4382-bce1-87c4ea21bf00;;;;;1729780136389;-1;-1;
tussen;entre;préposition;11b92f26-1c3a-49bd-a0be-332302381b97;;;;;1729780136395;-1;-1;
