dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
oma / grootmoeder;grand-mère;;74e8eaa1-1ad4-4c45-a608-92354804fe0a;;;;;1729780136390;-1;-1;
opa / grootvader;grand-père;;d53db2fa-513a-420c-aac7-18c747fa0be6;;;;;1729780136390;-1;-1;
moeder;mère;;8451b4a5-1a09-4b75-bac3-2e4b3739750c;;;;;1729780136390;-1;-1;
vader;père;;a94d4a57-ab07-4304-bb91-9b1e698e43f6;;;;;1729780136390;-1;-1;
oom;oncle;;767491f6-46a0-4f09-a842-70c3099287a7;;;;;1729780136390;-1;-1;
tante;tante;;49519681-1fa0-4b74-877a-85cc502ec31c;;;;;1729780136390;-1;-1;
neef;cousin;;ecee9060-ecfa-4814-87d5-d895f640a53c;;;;;1729780136390;-1;-1;
nicht;cousine;;8f54c017-db4a-4a93-9adc-5350cc5afa56;;;;;1729780136390;-1;-1;
tweeling;jumeaux / jumelles;;62f463d7-1fee-41ea-b933-128b0bd12d04;;;;;1729780136390;-1;-1;
stiefbroer;beau-frère (remariage);;4aaceeef-94a2-490e-983e-22cb7f0e5fdb;;;;;1729780136390;-1;-1;
schoonbroer;beau-frère;;743081a1-cb2c-42a8-96c6-bcaa9a5e793c;;;;;1729780136390;-1;-1;
halfbroer;demi-frère;;72ed41a8-756a-4321-8161-1663bf0af2ad;;;;;1729780136390;-1;-1;
stiefzus;belle-sœur (remariage);;e205ef72-bf0b-425b-9cad-9ee7d794ca57;;;;;1729780136390;-1;-1;
schoonzus;belle-sœur;;e56dc818-7544-429d-afe8-4983fc590e8d;;;;;1729780136390;-1;-1;
halfzus;demi-sœur;;749645a9-41e7-42de-90b4-ff90cf329021;;;;;1729780136390;-1;-1;
stiefmoeder;belle-mère (remariage);;71e03e30-6394-4675-974a-56cc45af8dec;;;;;1729780136390;-1;-1;
schoonmoeder;belle-mère;;4cf94bfa-fff8-4f47-8e52-6beb1ce3fa57;;;;;1729780136390;-1;-1;
kat;chat;;410b8800-4bcb-46c8-b06c-717abbddfac6;;;;;1729780136390;-1;-1;
hond;chien;;b92c8975-9f8b-4c92-95e8-9cc8c25403c0;;;;;1729780136390;-1;-1;
vis;poisson;;29cf54aa-6f04-4c60-8eda-cb195831e719;;;;;1729780136390;-1;-1;
huisdieren;animaux de compagnie;;efdfecac-2629-497c-b2d3-b388ec352a6f;;;;;1729780136390;-1;-1;
wit;blanc;;771b3964-9d01-40d0-a6d8-f85b752348be;;;;;1729780136390;-1;-1;
zwart;noir;;15e8b879-531a-4b07-9c1f-0842236aafde;;;;;1729780136390;-1;-1;
rood;rouge;;82cf4bbe-7c63-4065-9247-0688f079ac31;;;;;1729780136390;-1;-1;
blauw;bleu;;f23c1024-24f9-4bc7-b587-1856dea8427b;;;;;1729780136390;-1;-1;
geel;jaune;;01a84f73-8916-49a5-aa91-a385898be064;;;;;1729780136390;-1;-1;
oranje;orange;;6bd448e2-0daa-4c54-8995-001033fe8d10;;;;;1729780136390;-1;-1;
grijs;gris;;ea72aaa2-de21-4e8b-aa9f-32fb2d749ec8;;;;;1729780136390;-1;-1;
groen;vert;;cf52174e-a8b0-47b1-ade8-ea0d7e19dc87;;;;;1729780136390;-1;-1;
nooit;jamais;;fb352ff9-82eb-4281-b9aa-ebbd7e62225d;;;;;1729780136390;-1;-1;
soms;parfois;;b89644a0-ed85-40b4-801f-7636696910f3;;;;;1729780136390;-1;-1;
vaak;souvent;;1fbc41f7-a4ec-4172-9e46-2c603abef903;;;;;1729780136390;-1;-1;
altijd;toujours;;c4096834-e458-459c-8f3c-c30dcd1cb5be;;;;;1729780136390;-1;-1;
er is;il y a (singulier);;c04f7c39-b148-4740-a882-237600a5ad5d;;;;;1729780136390;-1;-1;
er zijn;il y a (pluriel);;f7c40ce7-add8-4197-ab27-89434b7b2add;;;;;1729780136390;-1;-1;
snel;vite;;3ff1b6cf-73cc-4d0e-bdba-12b447e4be87;;;;;1729780136390;-1;-1;
langzaam;lentement;;0fad029f-8cb7-4ab7-9827-395c81cf04c7;;;;;1729780136390;-1;-1;
grens;frontière;;64e050dc-8982-4f4e-9fa3-454875fcd846;;;;;1729780136390;-1;-1;
jam;confiture;;31bf2c34-da87-462a-bf0f-2d4683091781;;;;;1729780136395;-1;-1;
