dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
zijn;être;irrégulier;7696163e-be40-45b0-a334-40c7becba882;;;;;;1729780136388;-1;
hebben;avoir;irrégulier;3edbb174-ba57-4340-9add-eedf6f1eb890;;;;;;1729780136388;-1;
doen;faire;irrégulier;25426a3d-0fd2-49bb-9c29-b06be9711e7e;;;;;;1729780136388;-1;
zien;voir;irrégulier;b3484941-8cce-4e57-87e9-a7d8d96f91a5;;;;;;1729780136388;-1;
staan;être debout;irrégulier;95dffc0b-f804-43e8-b235-1861d2bada4f;;;;;;1729780136388;-1;
zitten;être assis;irrégulier;8165f354-7cde-4d42-8a70-87d86579b56e;;;;;;1729780136388;-1;
liggen;être couché;irrégulier;9821da58-ba48-437a-8fa6-79d2cf097969;;;;;;1729780136388;-1;
lopen;marcher;irrégulier;d824dfa5-4d8a-4ee7-bdff-06391c7a2c51;;;;;;1729780136388;-1;
komen;venir;irrégulier;a6a91d85-564e-489b-8b96-7d8e1f1683b2;;;;;;1729780136388;-1;
geven;donner;irrégulier;77cebf7c-4ab0-4844-99f8-b138384bac76;;;;;;1729780136388;-1;
werken;travailler;régulier;bd2b71bd-fbf4-4754-9b5d-2635e64fe9d4;;;;;;1729780136389;-1;
luisteren;écouter;régulier;7d06e329-7094-4350-8c51-c0a539bb5c88;;;;;;1729780136389;-1;
koken;cuisiner;régulier;b1e0d760-04a5-46db-8b2f-e7bcd1d326df;;;;;;1729780136389;-1;
wonen;habiter;régulier;af188344-9aa1-4cec-bea6-5c722bf05476;;;;;;1729780136389;-1;
studeren;étudier;régulier;0687d1e9-25a8-45ee-9891-d972e2849cce;;;;;;1729780136389;-1;
slapen;dormir;régulier;58d035d8-85cb-466a-b648-68f87a002f6f;;;;;;1729780136389;-1;
rijden;conduire;irrégulier;09cc61fc-73cc-4dc9-829d-235c6fcb7018;;;;;;1729780136389;-1;
vriend;ami;;3a7c279a-29a9-432e-a849-db8203d2fbef;;;;;;1729780136389;-1;
