dutch;french;type;id;article;part;chapter;tags;issuer;date;difficulty;
oma / grootmoeder;grand-mère;;fe22c4a2-46d3-4d4d-bb73-f1276f4ca166;;;;;;1729780136390;-1;
opa / grootvader;grand-père;;123b6d16-0d46-4a39-ab12-a1985cf7fe6b;;;;;;1729780136390;-1;
moeder;mère;;ac64081c-5be1-4880-b039-dba2eea783bb;;;;;;1729780136390;-1;
vader;père;;411ddde5-699a-45d3-bb19-361e69110047;;;;;;1729780136390;-1;
oom;oncle;;061c3969-848a-4cbd-9fe6-373d39a50fa8;;;;;;1729780136390;-1;
tante;tante;;f22aa5ee-54ac-4576-99f6-086aebaed3d4;;;;;;1729780136390;-1;
neef;cousin;;317fcf2d-4b25-49ac-898a-36e37f898867;;;;;;1729780136390;-1;
nicht;cousine;;26413d69-b81e-435e-8851-ebed2c3032d1;;;;;;1729780136390;-1;
tweeling;jumeaux / jumelles;;30e90218-e0fa-4386-af2a-b5dffc9e0db1;;;;;;1729780136390;-1;
stiefbroer;beau-frère (remariage);;d6679aba-27a8-4c32-9fd7-6f0796d0bc21;;;;;;1729780136390;-1;
schoonbroer;beau-frère;;472c1223-6efa-4e49-9e28-8f652bd1c0d9;;;;;;1729780136390;-1;
halfbroer;demi-frère;;76608c71-4819-47e2-b31a-21da02098eed;;;;;;1729780136390;-1;
stiefzus;belle-sœur (remariage);;7097aee6-3712-4308-8112-f2fb36d7a280;;;;;;1729780136390;-1;
schoonzus;belle-sœur;;fe53f916-817c-4482-9ee6-251525c9fb7c;;;;;;1729780136390;-1;
halfzus;demi-sœur;;1b892bd5-e085-4587-97e1-87f874cffbe8;;;;;;1729780136390;-1;
stiefmoeder;belle-mère (remariage);;96ba2130-b6c1-4057-953f-1ce63f3c9b79;;;;;;1729780136390;-1;
schoonmoeder;belle-mère;;c4b72cd6-bb46-4f6d-acb0-c78ab1d06a4e;;;;;;1729780136390;-1;
kat;chat;;80508c7f-20bd-4cea-a849-dfb48763eb17;;;;;;1729780136390;-1;
hond;chien;;86c15f82-7eb8-45bb-85d7-a71ef7b5bdb3;;;;;;1729780136390;-1;
vis;poisson;;e9360f8b-51e3-4b84-9abb-11631c1343a6;;;;;;1729780136390;-1;
huisdieren;animaux de compagnie;;76ec7fdb-bd44-4856-b929-86fc690d5e2c;;;;;;1729780136390;-1;
wit;blanc;;385f1e5f-08ac-4038-a9d5-45d9528f7d2c;;;;;;1729780136390;-1;
zwart;noir;;051df451-64f9-449a-b6b6-f3def66a3654;;;;;;1729780136390;-1;
rood;rouge;;42ff7f3d-4e2d-4234-9158-0f8dfa219575;;;;;;1729780136390;-1;
blauw;bleu;;5c7434c0-05f4-4f17-8515-21d23ae1e8d9;;;;;;1729780136390;-1;
geel;jaune;;35424eed-6e55-4f09-a099-ada2194c5013;;;;;;1729780136390;-1;
oranje;orange;;93c7a8ea-c9f5-4d33-b029-d6a1e8d151c0;;;;;;1729780136390;-1;
grijs;gris;;09d37d67-3153-4b6b-b62b-c1a310827446;;;;;;1729780136390;-1;
groen;vert;;4f727ae4-7516-423c-ae1c-fc326f7a9edc;;;;;;1729780136390;-1;
nooit;jamais;;be830381-dc9e-4264-8e6c-fa51bb58e3d7;;;;;;1729780136390;-1;
soms;parfois;;402d2a4a-fd47-4f0d-a6df-c315f508ebf2;;;;;;1729780136390;-1;
vaak;souvent;;0e16655b-58bc-46c2-ac28-2547feb6a1a4;;;;;;1729780136390;-1;
altijd;toujours;;f3b49c8a-13f3-4df1-a7c7-dafbf1413631;;;;;;1729780136390;-1;
er is;il y a (singulier);;f879c4f0-01e1-45e3-8b7f-cc56b93a0911;;;;;;1729780136390;-1;
er zijn;il y a (pluriel);;ad69b48b-877f-45e5-8364-316467c57af3;;;;;;1729780136390;-1;
snel;vite;;421c6358-98bd-4980-9f93-478adbfe1359;;;;;;1729780136390;-1;
langzaam;lentement;;8da36e2b-6c74-48ef-8d6f-2ae3265e8c13;;;;;;1729780136390;-1;
grens;frontière;;f1b24c07-f8a2-4a62-9b63-82eab91db02a;;;;;;1729780136390;-1;
jam;confiture;;4f93deca-efa8-40e9-bffb-df01caa9b1e5;;;;;;1729780136395;-1;
